Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2004,57.5,55.8,72.3,72.7,83.4,91.2,94.5,92.7,88.1,75.1,61.0,56.0,75.0
2005,57.8,59.2,63.9,72.2,82.7,90.4,97.2,92.2,89.6,78.2,66.3,56.8,75.5
2006,57.7,61.8,62.3,72.7,84.7,94.6,96.5,92.5,85.6,76.1,67.1,54.3,75.5
2007,52.9,59.9,68.7,73.7,84.6,92.7,95.8,96.2,90.4,78.2,70.0,53.2,76.4
2008,54.7,58.2,66.6,74.0,78.5,93.2,94.9,92.9,89.9,77.9,67.1,55.8,75.3
2009,58.7,60.7,67.5,71.4,86.1,88.7,98.3,95.2,90.0,74.4,67.4,53.7,76.0
2010,57.4,59.1,62.7,70.6,78.2,91.2,96.7,94.0,91.5,77.7,63.0,59.6,75.1
2011,55.7,55.2,67.8,74.3,78.8,90.8,95.2,98.3,91.4,78.8,63.5,53.2,75.3
2012,58.7,60.3,65.9,75.1,84.5,93.8,93.9,95.3,88.7,78.8,68.4,56.7,76.7
2013,53.6,57.1,69.5,75.3,83.9,94.8,95.7,94.7,88.7,74.5,66.7,56.3,75.9
2014,59.9,64.4,69.0,74.8,83.1,93.2,96.5,91.6,89.0,80.0,66.1,57.7,77.1
2015,58.6,65.6,72.2,74.3,78.7,94.0,94.7,96.6,89.9,79.4,62.1,54.2,76.7
2016,55.7,65.7,69.5,73.5,79.9,94.8,97.1,91.9,86.6,81.0,67.2,57.9,76.7
2017,55.1,61.9,70.7,75.3,81.8,94.7,95.0,94.0,87.9,80.5,71.2,59.1,77.3
